13 13 10 11 14 22 37 37 37 44 45 47 48 48 48 48 46 46 45 44 39 36 14 14 8 6 6 8 12 12 12 36 
21 21 14 10 9 8 10 10 10 47 56 55 56 57 57 65 38 37 37 36 34 32 30 22 12 12 8 5 5 8 16 16 
18 12 12 12 13 18 28 43 42 44 44 46 48 55 60 63 45 45 45 44 44 37 36 14 9 6 6 6 7 10 16 24 
26 30 30 37 36 35 33 32 32 30 22 11 8 3 3 4 39 41 40 40 40 40 40 39 39 38 38 37 36 34 33 32 
8 8 3 4 5 9 9 9 36 36 45 48 59 59 64 65 45 45 45 44 44 36 21 21 14 10 9 8 13 13 13 36 
25 14 11 11 16 27 27 55 56 56 56 56 56 56 56 56 41 36 36 32 29 17 9 7 7 9 9 36 36 45 46 46 
12 8 8 6 7 12 12 36 36 42 43 45 47 47 47 47 48 45 45 44 43 36 19 10 10 8 4 4 6 13 13 13 
25 25 59 59 61 69 70 66 66 65 65 66 64 64 64 64 22 10 8 8 4 7 7 39 44 45 45 45 45 45 45 45 
9 9 8 7 9 16 31 44 44 43 46 49 59 64 64 65 45 45 44 44 43 36 17 9 5 5 5 6 10 10 36 36 
15 15 9 8 9 16 16 16 55 56 56 56 56 56 56 56 38 37 36 36 32 30 17 8 5 5 5 8 8 36 36 36 
11 9 8 8 12 12 37 40 44 44 47 49 52 52 52 52 45 45 44 43 36 36 16 8 6 6 9 9 9 36 28 30 
22 12 8 8 8 8 15 15 55 55 56 56 56 56 56 56 39 38 36 34 32 30 30 21 11 8 5 7 7 7 37 44 
9 7 7 7 11 11 37 40 43 43 46 48 50 50 51 52 45 44 44 42 36 14 8 5 5 6 10 10 36 36 29 31 
15 15 8 7 8 16 16 55 55 56 56 57 57 56 56 56 41 39 36 33 31 24 12 12 8 5 5 9 9 9 36 36 
10 8 8 8 11 11 36 41 42 44 44 47 46 46 46 46 45 45 44 44 37 36 11 8 5 5 5 9 9 36 36 28 
22 11 8 8 7 8 8 58 60 60 62 74 68 66 66 66 37 36 34 34 32 30 21 8 4 4 4 12 12 43 44 44 
18 9 9 8 7 13 13 13 55 56 57 57 61 59 59 59 37 36 32 32 30 26 13 8 4 4 3 6 16 33 33 44 
14 10 10 9 9 15 15 40 40 43 45 47 53 57 57 58 46 45 45 44 44 37 36 11 8 6 6 6 10 16 25 28 
13 13 9 8 8 12 12 12 36 42 42 45 47 47 49 52 45 45 45 45 44 42 36 20 11 8 8 6 6 7 13 13 
15 15 9 7 7 8 8 10 10 36 39 43 42 44 44 47 45 45 45 45 44 44 43 36 21 11 8 4 4 3 4 8 
24 13 9 9 9 11 11 54 56 56 56 56 56 56 56 57 40 36 36 34 31 28 14 8 5 5 6 16 36 36 45 45 
12 8 7 7 7 11 11 38 41 44 44 47 48 48 46 47 46 45 45 45 44 36 18 8 5 5 5 5 10 10 36 36 
18 10 10 8 7 8 16 16 16 56 56 65 75 72 72 68 36 35 35 34 32 30 24 24 11 8 5 8 8 38 44 44 
15 9 9 6 7 8 16 31 31 41 42 44 47 54 54 66 45 45 45 45 44 40 36 14 8 8 5 5 5 7 14 14 
27 13 8 6 6 6 16 16 56 56 56 56 57 57 57 57 38 36 34 31 29 24 24 11 8 3 3 9 9 9 42 44 
14 8 8 7 10 10 37 41 41 44 46 48 52 53 53 54 45 45 45 43 43 36 14 8 4 4 7 7 16 16 36 32 
